# k[h/Mpc]   R1   R2 
# 
1.0198e-03 2.5952e-01 -6.4578e-02
1.0292e-03 2.6660e-01 -6.6336e-02
1.0387e-03 2.7388e-01 -6.8142e-02
1.0484e-03 2.8135e-01 -6.9997e-02
1.0581e-03 2.8903e-01 -7.1901e-02
1.0679e-03 2.9691e-01 -7.3857e-02
1.0777e-03 3.0501e-01 -7.5866e-02
1.0877e-03 3.1333e-01 -7.7928e-02
1.0978e-03 3.2187e-01 -8.0047e-02
1.1080e-03 3.3064e-01 -8.2222e-02
1.1182e-03 3.3965e-01 -8.4456e-02
1.1286e-03 3.4891e-01 -8.6750e-02
1.1390e-03 3.5841e-01 -8.9105e-02
1.1496e-03 3.6817e-01 -9.1524e-02
1.1602e-03 3.7819e-01 -9.4008e-02
1.1709e-03 3.8849e-01 -9.6558e-02
1.1818e-03 3.9906e-01 -9.9177e-02
1.1927e-03 4.0991e-01 -1.0187e-01
1.2038e-03 4.2106e-01 -1.0463e-01
1.2149e-03 4.3251e-01 -1.0746e-01
1.2262e-03 4.4427e-01 -1.1037e-01
1.2375e-03 4.5634e-01 -1.1336e-01
1.2490e-03 4.6874e-01 -1.1643e-01
1.2605e-03 4.8147e-01 -1.1958e-01
1.2722e-03 4.9455e-01 -1.2282e-01
1.2840e-03 5.0798e-01 -1.2614e-01
1.2959e-03 5.2176e-01 -1.2955e-01
1.3079e-03 5.3592e-01 -1.3305e-01
1.3200e-03 5.5046e-01 -1.3665e-01
1.3322e-03 5.6539e-01 -1.4034e-01
1.3445e-03 5.8072e-01 -1.4413e-01
1.3570e-03 5.9645e-01 -1.4802e-01
1.3695e-03 6.1262e-01 -1.5202e-01
1.3822e-03 6.2921e-01 -1.5612e-01
1.3950e-03 6.4625e-01 -1.6033e-01
1.4079e-03 6.6375e-01 -1.6465e-01
1.4209e-03 6.8171e-01 -1.6908e-01
1.4341e-03 7.0016e-01 -1.7364e-01
1.4474e-03 7.1909e-01 -1.7831e-01
1.4608e-03 7.3854e-01 -1.8311e-01
1.4743e-03 7.5850e-01 -1.8804e-01
1.4879e-03 7.7899e-01 -1.9310e-01
1.5017e-03 8.0004e-01 -1.9829e-01
1.5156e-03 8.2164e-01 -2.0362e-01
1.5297e-03 8.4382e-01 -2.0909e-01
1.5438e-03 8.6659e-01 -2.1470e-01
1.5581e-03 8.8997e-01 -2.2047e-01
1.5725e-03 9.1397e-01 -2.2638e-01
1.5871e-03 9.3861e-01 -2.3245e-01
1.6018e-03 9.6391e-01 -2.3868e-01
1.6166e-03 9.8987e-01 -2.4508e-01
1.6316e-03 1.0165e+00 -2.5164e-01
1.6467e-03 1.0439e+00 -2.5838e-01
1.6619e-03 1.0720e+00 -2.6530e-01
1.6773e-03 1.1008e+00 -2.7239e-01
1.6928e-03 1.1304e+00 -2.7968e-01
1.7085e-03 1.1608e+00 -2.8715e-01
1.7243e-03 1.1920e+00 -2.9482e-01
1.7403e-03 1.2240e+00 -3.0269e-01
1.7564e-03 1.2569e+00 -3.1077e-01
1.7727e-03 1.2906e+00 -3.1906e-01
1.7891e-03 1.3252e+00 -3.2757e-01
1.8056e-03 1.3608e+00 -3.3630e-01
1.8223e-03 1.3972e+00 -3.4525e-01
1.8392e-03 1.4347e+00 -3.5444e-01
1.8562e-03 1.4731e+00 -3.6387e-01
1.8734e-03 1.5125e+00 -3.7355e-01
1.8908e-03 1.5530e+00 -3.8348e-01
1.9083e-03 1.5945e+00 -3.9367e-01
1.9259e-03 1.6372e+00 -4.0412e-01
1.9438e-03 1.6809e+00 -4.1484e-01
1.9618e-03 1.7258e+00 -4.2585e-01
1.9799e-03 1.7719e+00 -4.3713e-01
1.9983e-03 1.8192e+00 -4.4871e-01
2.0168e-03 1.8677e+00 -4.6059e-01
2.0354e-03 1.9175e+00 -4.7278e-01
2.0543e-03 1.9686e+00 -4.8529e-01
2.0733e-03 2.0210e+00 -4.9811e-01
2.0925e-03 2.0748e+00 -5.1127e-01
2.1118e-03 2.1300e+00 -5.2477e-01
2.1314e-03 2.1867e+00 -5.3861e-01
2.1511e-03 2.2448e+00 -5.5282e-01
2.1710e-03 2.3045e+00 -5.6739e-01
2.1911e-03 2.3657e+00 -5.8233e-01
2.2114e-03 2.4285e+00 -5.9765e-01
2.2319e-03 2.4929e+00 -6.1337e-01
2.2526e-03 2.5590e+00 -6.2949e-01
2.2734e-03 2.6268e+00 -6.4603e-01
2.2945e-03 2.6964e+00 -6.6299e-01
2.3157e-03 2.7677e+00 -6.8038e-01
2.3371e-03 2.8410e+00 -6.9821e-01
2.3588e-03 2.9161e+00 -7.1650e-01
2.3806e-03 2.9931e+00 -7.3526e-01
2.4026e-03 3.0722e+00 -7.5449e-01
2.4249e-03 3.1533e+00 -7.7421e-01
2.4473e-03 3.2364e+00 -7.9443e-01
2.4700e-03 3.3218e+00 -8.1517e-01
2.4929e-03 3.4093e+00 -8.3643e-01
2.5159e-03 3.4991e+00 -8.5823e-01
2.5392e-03 3.5911e+00 -8.8058e-01
2.5627e-03 3.6856e+00 -9.0350e-01
2.5865e-03 3.7824e+00 -9.2699e-01
2.6104e-03 3.8818e+00 -9.5108e-01
2.6346e-03 3.9837e+00 -9.7577e-01
2.6590e-03 4.0882e+00 -1.0011e+00
2.6836e-03 4.1953e+00 -1.0270e+00
2.7084e-03 4.3052e+00 -1.0536e+00
2.7335e-03 4.4180e+00 -1.0809e+00
2.7588e-03 4.5335e+00 -1.1088e+00
2.7843e-03 4.6521e+00 -1.1375e+00
2.8101e-03 4.7736e+00 -1.1669e+00
2.8361e-03 4.8982e+00 -1.1969e+00
2.8624e-03 5.0260e+00 -1.2278e+00
2.8889e-03 5.1570e+00 -1.2594e+00
2.9156e-03 5.2914e+00 -1.2918e+00
2.9426e-03 5.4291e+00 -1.3250e+00
2.9699e-03 5.5703e+00 -1.3590e+00
2.9974e-03 5.7151e+00 -1.3939e+00
3.0251e-03 5.8636e+00 -1.4296e+00
3.0531e-03 6.0158e+00 -1.4662e+00
3.0814e-03 6.1718e+00 -1.5037e+00
3.1099e-03 6.3317e+00 -1.5421e+00
3.1387e-03 6.4956e+00 -1.5815e+00
3.1677e-03 6.6637e+00 -1.6218e+00
3.1971e-03 6.8360e+00 -1.6632e+00
3.2267e-03 7.0126e+00 -1.7055e+00
3.2565e-03 7.1936e+00 -1.7489e+00
3.2867e-03 7.3791e+00 -1.7933e+00
3.3171e-03 7.5692e+00 -1.8388e+00
3.3478e-03 7.7641e+00 -1.8854e+00
3.3788e-03 7.9638e+00 -1.9332e+00
3.4101e-03 8.1685e+00 -1.9821e+00
3.4417e-03 8.3783e+00 -2.0321e+00
3.4735e-03 8.5932e+00 -2.0834e+00
3.5057e-03 8.8135e+00 -2.1360e+00
3.5381e-03 9.0392e+00 -2.1898e+00
3.5709e-03 9.2705e+00 -2.2449e+00
3.6039e-03 9.5075e+00 -2.3013e+00
3.6373e-03 9.7503e+00 -2.3590e+00
3.6710e-03 9.9991e+00 -2.4182e+00
3.7050e-03 1.0254e+01 -2.4787e+00
3.7393e-03 1.0515e+01 -2.5407e+00
3.7739e-03 1.0783e+01 -2.6042e+00
3.8088e-03 1.1057e+01 -2.6691e+00
3.8441e-03 1.1338e+01 -2.7357e+00
3.8797e-03 1.1625e+01 -2.8037e+00
3.9156e-03 1.1920e+01 -2.8734e+00
3.9518e-03 1.2222e+01 -2.9448e+00
3.9884e-03 1.2531e+01 -3.0178e+00
4.0253e-03 1.2847e+01 -3.0925e+00
4.0626e-03 1.3171e+01 -3.1690e+00
4.1002e-03 1.3504e+01 -3.2472e+00
4.1382e-03 1.3844e+01 -3.3273e+00
4.1765e-03 1.4192e+01 -3.4093e+00
4.2151e-03 1.4549e+01 -3.4931e+00
4.2542e-03 1.4914e+01 -3.5789e+00
4.2935e-03 1.5288e+01 -3.6667e+00
4.3333e-03 1.5670e+01 -3.7565e+00
4.3734e-03 1.6063e+01 -3.8484e+00
4.4139e-03 1.6464e+01 -3.9424e+00
4.4548e-03 1.6875e+01 -4.0385e+00
4.4960e-03 1.7296e+01 -4.1369e+00
