#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.127211e-06 1.075461e+02 1.075465e+02 1.093173e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.267799e-09 6.342461e-08 -1.581856e-07 -8.117398e-13 4.818662e+03 4.396864e+06 9.305029e+05 -2.473106e-03 -5.115770e-02 -2.306244e-01 -1.137942e-01 3.030688e-02 8.515313e-01 4.228841e-03 2.829526e-07 9.430916e-07 -1.638296e-07
1.130590e-06 1.075461e+02 1.075465e+02 1.098022e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.296217e-09 6.368440e-08 -1.585941e-07 -8.168172e-13 4.812251e+03 4.385176e+06 9.280369e+05 -2.476707e-03 -5.123964e-02 -2.309922e-01 -1.139837e-01 3.035742e-02 8.517920e-01 4.228762e-03 2.841536e-07 9.461903e-07 -1.643792e-07
1.133980e-06 1.075461e+02 1.075465e+02 1.102891e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.324763e-09 6.394524e-08 -1.590036e-07 -8.219262e-13 4.805849e+03 4.373518e+06 9.255775e+05 -2.480314e-03 -5.132171e-02 -2.313605e-01 -1.141736e-01 3.040805e-02 8.520528e-01 4.228683e-03 2.853596e-07 9.492992e-07 -1.649306e-07
1.137380e-06 1.075461e+02 1.075465e+02 1.107783e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.353439e-09 6.420716e-08 -1.594142e-07 -8.270673e-13 4.799456e+03 4.361892e+06 9.231246e+05 -2.483926e-03 -5.140392e-02 -2.317294e-01 -1.143637e-01 3.045876e-02 8.523136e-01 4.228604e-03 2.865708e-07 9.524183e-07 -1.654839e-07
1.140790e-06 1.075461e+02 1.075465e+02 1.112696e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.382244e-09 6.447015e-08 -1.598258e-07 -8.322405e-13 4.793071e+03 4.350297e+06 9.206781e+05 -2.487543e-03 -5.148625e-02 -2.320989e-01 -1.145542e-01 3.050956e-02 8.525745e-01 4.228525e-03 2.877871e-07 9.555476e-07 -1.660390e-07
1.144210e-06 1.075461e+02 1.075465e+02 1.117630e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.411181e-09 6.473422e-08 -1.602384e-07 -8.374461e-13 4.786695e+03 4.338732e+06 9.182382e+05 -2.491166e-03 -5.156871e-02 -2.324689e-01 -1.147450e-01 3.056044e-02 8.528355e-01 4.228446e-03 2.890085e-07 9.586872e-07 -1.665960e-07
1.147641e-06 1.075461e+02 1.075465e+02 1.122587e-09 3.755310e+00 1.947944e+01 3.755962e+00 1.948235e+01 6.440248e-09 6.499936e-08 -1.606521e-07 -8.426842e-13 4.780327e+03 4.327199e+06 9.158047e+05 -2.494793e-03 -5.165131e-02 -2.328396e-01 -1.149361e-01 3.061140e-02 8.530966e-01 4.228367e-03 2.902352e-07 9.618371e-07 -1.671548e-07
1.151082e-06 1.075461e+02 1.075465e+02 1.127566e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.469447e-09 6.526560e-08 -1.610668e-07 -8.479551e-13 4.773968e+03 4.315696e+06 9.133777e+05 -2.498426e-03 -5.173404e-02 -2.332109e-01 -1.151276e-01 3.066245e-02 8.533577e-01 4.228288e-03 2.914670e-07 9.649974e-07 -1.677156e-07
1.154533e-06 1.075461e+02 1.075465e+02 1.132566e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.498779e-09 6.553292e-08 -1.614825e-07 -8.532589e-13 4.767617e+03 4.304223e+06 9.109571e+05 -2.502065e-03 -5.181690e-02 -2.335827e-01 -1.153193e-01 3.071359e-02 8.536190e-01 4.228209e-03 2.927041e-07 9.681681e-07 -1.682782e-07
1.157994e-06 1.075461e+02 1.075465e+02 1.137589e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.528244e-09 6.580134e-08 -1.618993e-07 -8.585960e-13 4.761275e+03 4.292781e+06 9.085429e+05 -2.505708e-03 -5.189990e-02 -2.339552e-01 -1.155114e-01 3.076481e-02 8.538803e-01 4.228130e-03 2.939464e-07 9.713491e-07 -1.688427e-07
