# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
3.0496e-04 3.6907e-05 -8.8015e-06 1.4087e-05 1.4053e-05 8.2723e-02 1.6533e-01
3.0778e-04 3.8276e-05 -9.1243e-06 1.4612e-05 1.4576e-05 8.4261e-02 1.6841e-01
3.1063e-04 3.9697e-05 -9.4589e-06 1.5156e-05 1.5119e-05 8.5828e-02 1.7154e-01
3.1351e-04 4.1169e-05 -9.8056e-06 1.5721e-05 1.5682e-05 8.7424e-02 1.7473e-01
3.1641e-04 4.2696e-05 -1.0165e-05 1.6307e-05 1.6266e-05 8.9050e-02 1.7797e-01
3.1934e-04 4.4280e-05 -1.0538e-05 1.6914e-05 1.6871e-05 9.0706e-02 1.8128e-01
3.2230e-04 4.5922e-05 -1.0924e-05 1.7544e-05 1.7499e-05 9.2393e-02 1.8465e-01
3.2528e-04 4.7625e-05 -1.1324e-05 1.8198e-05 1.8151e-05 9.4112e-02 1.8808e-01
3.2829e-04 4.9391e-05 -1.1738e-05 1.8876e-05 1.8826e-05 9.5862e-02 1.9158e-01
3.3133e-04 5.1222e-05 -1.2168e-05 1.9579e-05 1.9527e-05 9.7645e-02 1.9514e-01
3.3440e-04 5.3121e-05 -1.2614e-05 2.0308e-05 2.0254e-05 9.9461e-02 1.9876e-01
3.3749e-04 5.5090e-05 -1.3075e-05 2.1065e-05 2.1007e-05 1.0131e-01 2.0246e-01
3.4062e-04 5.7131e-05 -1.3554e-05 2.1849e-05 2.1789e-05 1.0319e-01 2.0622e-01
3.4377e-04 5.9248e-05 -1.4049e-05 2.2663e-05 2.2600e-05 1.0511e-01 2.1005e-01
3.4695e-04 6.1444e-05 -1.4563e-05 2.3507e-05 2.3440e-05 1.0707e-01 2.1395e-01
3.5016e-04 6.3720e-05 -1.5096e-05 2.4382e-05 2.4312e-05 1.0906e-01 2.1793e-01
3.5341e-04 6.6081e-05 -1.5647e-05 2.5290e-05 2.5217e-05 1.1109e-01 2.2198e-01
3.5668e-04 6.8528e-05 -1.6219e-05 2.6232e-05 2.6155e-05 1.1315e-01 2.2610e-01
3.5998e-04 7.1066e-05 -1.6812e-05 2.7208e-05 2.7127e-05 1.1526e-01 2.3030e-01
3.6331e-04 7.3698e-05 -1.7426e-05 2.8221e-05 2.8136e-05 1.1740e-01 2.3458e-01
3.6668e-04 7.6427e-05 -1.8062e-05 2.9271e-05 2.9182e-05 1.1958e-01 2.3894e-01
3.7007e-04 7.9257e-05 -1.8722e-05 3.0361e-05 3.0267e-05 1.2181e-01 2.4338e-01
3.7350e-04 8.2190e-05 -1.9405e-05 3.1491e-05 3.1393e-05 1.2407e-01 2.4790e-01
3.7695e-04 8.5233e-05 -2.0113e-05 3.2662e-05 3.2560e-05 1.2638e-01 2.5251e-01
3.8044e-04 8.8387e-05 -2.0847e-05 3.3878e-05 3.3770e-05 1.2873e-01 2.5720e-01
3.8397e-04 9.1658e-05 -2.1608e-05 3.5138e-05 3.5025e-05 1.3113e-01 2.6198e-01
3.8752e-04 9.5049e-05 -2.2395e-05 3.6446e-05 3.6327e-05 1.3356e-01 2.6684e-01
3.9111e-04 9.8566e-05 -2.3212e-05 3.7802e-05 3.7677e-05 1.3605e-01 2.7180e-01
3.9473e-04 1.0221e-04 -2.4058e-05 3.9208e-05 3.9077e-05 1.3858e-01 2.7685e-01
3.9838e-04 1.0599e-04 -2.4934e-05 4.0667e-05 4.0529e-05 1.4116e-01 2.8199e-01
4.0207e-04 1.0991e-04 -2.5843e-05 4.2179e-05 4.2035e-05 1.4378e-01 2.8723e-01
4.0579e-04 1.1398e-04 -2.6784e-05 4.3748e-05 4.3596e-05 1.4645e-01 2.9257e-01
4.0955e-04 1.1819e-04 -2.7759e-05 4.5375e-05 4.5215e-05 1.4918e-01 2.9800e-01
4.1334e-04 1.2256e-04 -2.8769e-05 4.7062e-05 4.6895e-05 1.5195e-01 3.0354e-01
